match_id,model,baseline,seed,round,coop
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,1,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,2,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,3,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,4,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,5,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,6,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,7,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,8,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,9,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,10,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,11,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,12,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,13,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,14,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,15,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,16,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,17,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,18,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,19,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,20,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,21,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,22,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,23,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,24,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,25,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,26,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,27,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,28,1.0
